sample_type,classifier,name,feature_set,feature_set_type,n_features,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,average_precision_mean,average_precision_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
person,Random Forest,RandomForestClassifier_automatic_rfecv_selected_remove_inactive_evening,automatic_rfecv_selected,ablation,9,0.833,0.146,0.828,0.149,0.927,0.067,0.803,0.167,0.82,0.157,0.79,0.18
person,Random Forest,RandomForestClassifier_automatic_rfecv_selected_remove_inactive_ratio,automatic_rfecv_selected,ablation,9,0.833,0.146,0.828,0.149,0.931,0.061,0.803,0.167,0.82,0.157,0.79,0.18
person,Logistic Regression,LogisticRegression_manual_base_remove_inactive_ratio,manual_base,ablation,6,0.924,0.074,0.925,0.076,0.948,0.045,0.914,0.091,0.883,0.1,0.95,0.1
person,Logistic Regression,LogisticRegression_manual_six_hour_bins_remove_inactive_afternoon,manual_six_hour_bins,ablation,7,0.756,0.131,0.77,0.142,0.846,0.094,0.725,0.159,0.661,0.132,0.82,0.223
person,Logistic Regression,LogisticRegression_manual_six_hour_bins_remove_inactive_evening,manual_six_hour_bins,ablation,7,0.795,0.137,0.806,0.129,0.892,0.085,0.775,0.158,0.733,0.17,0.86,0.196
person,Logistic Regression,LogisticRegression_manual_six_hour_bins_remove_inactive_morning,manual_six_hour_bins,ablation,7,0.795,0.094,0.806,0.102,0.9,0.07,0.765,0.124,0.708,0.096,0.86,0.196
person,Logistic Regression,LogisticRegression_manual_six_hour_bins_remove_inactive_night,manual_six_hour_bins,ablation,7,0.687,0.088,0.699,0.076,0.811,0.099,0.666,0.086,0.601,0.102,0.77,0.129
person,Logistic Regression,LogisticRegression_manual_full_remove_min,manual_full,ablation,47,0.924,0.074,0.927,0.076,0.962,0.04,0.91,0.092,0.877,0.104,0.95,0.1
person,Logistic Regression,LogisticRegression_manual_full_remove_is_constant_activity,manual_full,ablation,47,0.924,0.074,0.927,0.076,0.962,0.04,0.91,0.092,0.877,0.104,0.95,0.1
person,Logistic Regression,LogisticRegression_manual_full_remove_inactive_afternoon,manual_full,ablation,47,0.924,0.074,0.927,0.076,0.962,0.04,0.91,0.092,0.877,0.104,0.95,0.1
person,Logistic Regression,LogisticRegression_manual_full_remove_inactive_evening,manual_full,ablation,47,0.924,0.074,0.927,0.076,0.962,0.04,0.91,0.092,0.877,0.104,0.95,0.1
person,Logistic Regression,LogisticRegression_manual_full_remove_inactive_morning,manual_full,ablation,47,0.924,0.074,0.927,0.076,0.962,0.04,0.91,0.092,0.877,0.104,0.95,0.1
person,Logistic Regression,LogisticRegression_manual_full_remove_inactive_night,manual_full,ablation,47,0.924,0.074,0.927,0.076,0.962,0.04,0.91,0.092,0.877,0.104,0.95,0.1
person,Logistic Regression,LogisticRegression_manual_full_remove_inactive_ratio,manual_full,ablation,47,0.924,0.074,0.927,0.076,0.962,0.04,0.91,0.092,0.877,0.104,0.95,0.1
person,Logistic Regression,LogisticRegression_automatic_all_candidates_remove_inactive_morning,automatic_all_candidates,ablation,19,0.924,0.074,0.927,0.076,0.962,0.04,0.91,0.092,0.877,0.104,0.95,0.1
person,Logistic Regression,LogisticRegression_automatic_all_candidates_remove_inactive_afternoon,automatic_all_candidates,ablation,19,0.905,0.086,0.913,0.081,0.962,0.04,0.892,0.102,0.85,0.133,0.95,0.1
person,Logistic Regression,LogisticRegression_automatic_all_candidates_remove_inactive_evening,automatic_all_candidates,ablation,19,0.924,0.074,0.927,0.076,0.967,0.032,0.91,0.092,0.877,0.104,0.95,0.1
person,Logistic Regression,LogisticRegression_automatic_all_candidates_remove_inactive_night,automatic_all_candidates,ablation,19,0.905,0.063,0.902,0.068,0.973,0.023,0.881,0.081,0.877,0.104,0.9,0.122
person,Logistic Regression,LogisticRegression_automatic_all_candidates_remove_inactive_ratio,automatic_all_candidates,ablation,19,0.905,0.063,0.902,0.068,0.962,0.04,0.881,0.081,0.877,0.104,0.9,0.122
person,Logistic Regression,LogisticRegression_automatic_positive_permutation_remove_inactive_afternoon,automatic_positive_permutation,ablation,10,0.924,0.074,0.927,0.076,0.971,0.044,0.91,0.092,0.877,0.104,0.95,0.1
person,Decision Tree,DecisionTreeClassifier_manual_base_remove_inactive_ratio,manual_base,ablation,6,0.758,0.125,0.747,0.13,0.77,0.127,0.701,0.154,0.723,0.149,0.69,0.174
person,Decision Tree,DecisionTreeClassifier_manual_six_hour_bins_remove_inactive_afternoon,manual_six_hour_bins,ablation,7,0.705,0.131,0.721,0.129,0.675,0.123,0.684,0.101,0.674,0.202,0.78,0.204
person,Decision Tree,DecisionTreeClassifier_manual_six_hour_bins_remove_inactive_evening,manual_six_hour_bins,ablation,7,0.705,0.102,0.713,0.097,0.673,0.136,0.668,0.09,0.674,0.197,0.73,0.172
person,Decision Tree,DecisionTreeClassifier_manual_six_hour_bins_remove_inactive_morning,manual_six_hour_bins,ablation,7,0.687,0.133,0.685,0.131,0.654,0.151,0.639,0.121,0.66,0.211,0.68,0.194
person,Decision Tree,DecisionTreeClassifier_manual_six_hour_bins_remove_inactive_night,manual_six_hour_bins,ablation,7,0.687,0.133,0.685,0.131,0.646,0.139,0.639,0.121,0.66,0.211,0.68,0.194
person,Decision Tree,DecisionTreeClassifier_manual_full_remove_min,manual_full,ablation,47,0.736,0.148,0.726,0.139,0.648,0.17,0.69,0.15,0.71,0.201,0.68,0.112
person,Decision Tree,DecisionTreeClassifier_manual_full_remove_is_constant_activity,manual_full,ablation,47,0.736,0.148,0.726,0.139,0.704,0.159,0.69,0.15,0.71,0.201,0.68,0.112
person,Decision Tree,DecisionTreeClassifier_manual_full_remove_inactive_afternoon,manual_full,ablation,47,0.736,0.148,0.726,0.139,0.645,0.173,0.69,0.15,0.71,0.201,0.68,0.112
person,Decision Tree,DecisionTreeClassifier_manual_full_remove_inactive_evening,manual_full,ablation,47,0.736,0.169,0.734,0.168,0.638,0.2,0.704,0.184,0.683,0.196,0.73,0.172
person,Decision Tree,DecisionTreeClassifier_manual_full_remove_inactive_morning,manual_full,ablation,47,0.736,0.148,0.726,0.139,0.645,0.173,0.69,0.15,0.71,0.201,0.68,0.112
person,Decision Tree,DecisionTreeClassifier_manual_full_remove_inactive_night,manual_full,ablation,47,0.736,0.148,0.726,0.139,0.645,0.173,0.69,0.15,0.71,0.201,0.68,0.112
person,Decision Tree,DecisionTreeClassifier_manual_full_remove_inactive_ratio,manual_full,ablation,47,0.736,0.148,0.715,0.134,0.673,0.178,0.674,0.147,0.76,0.233,0.63,0.125
person,Decision Tree,DecisionTreeClassifier_automatic_all_candidates_remove_inactive_morning,automatic_all_candidates,ablation,19,0.795,0.11,0.782,0.096,0.828,0.079,0.756,0.105,0.8,0.179,0.73,0.068
person,Decision Tree,DecisionTreeClassifier_automatic_all_candidates_remove_inactive_afternoon,automatic_all_candidates,ablation,19,0.795,0.11,0.782,0.096,0.828,0.079,0.756,0.105,0.8,0.179,0.73,0.068
person,Decision Tree,DecisionTreeClassifier_automatic_all_candidates_remove_inactive_evening,automatic_all_candidates,ablation,19,0.831,0.138,0.823,0.133,0.875,0.094,0.803,0.148,0.84,0.196,0.78,0.129
person,Decision Tree,DecisionTreeClassifier_automatic_all_candidates_remove_inactive_night,automatic_all_candidates,ablation,19,0.795,0.11,0.782,0.096,0.828,0.079,0.756,0.105,0.8,0.179,0.73,0.068
person,Decision Tree,DecisionTreeClassifier_automatic_all_candidates_remove_inactive_ratio,automatic_all_candidates,ablation,19,0.813,0.133,0.807,0.128,0.739,0.195,0.785,0.141,0.8,0.179,0.78,0.129
person,Decision Tree,DecisionTreeClassifier_automatic_positive_permutation_remove_inactive_evening,automatic_positive_permutation,ablation,4,0.831,0.138,0.823,0.133,0.828,0.187,0.803,0.148,0.84,0.196,0.78,0.129
person,Decision Tree,DecisionTreeClassifier_automatic_positive_permutation_remove_inactive_ratio,automatic_positive_permutation,ablation,4,0.813,0.133,0.807,0.128,0.798,0.15,0.785,0.141,0.8,0.179,0.78,0.129
person,Decision Tree,DecisionTreeClassifier_automatic_rfecv_selected_remove_inactive_evening,automatic_rfecv_selected,ablation,1,0.796,0.067,0.82,0.061,0.775,0.075,0.787,0.056,0.733,0.154,0.92,0.16
