sample_type,classifier,feature_set,feature,zero_proportion,corr_with_inactive_ratio,is_high_inactive,is_high_corr_with_inactivity,is_inactivity_related
person,Random Forest,manual_hourly_activity,mean_activity_16,0.0,-0.346,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_17,0.0,-0.262,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_18,0.0,-0.248,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_19,0.0,-0.362,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_20,0.0,-0.243,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_21,0.0,-0.308,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_22,0.0,-0.373,False,False,False
person,Random Forest,manual_hourly_activity,mean_activity_23,0.0,-0.378,False,False,False
person,Random Forest,manual_six_hour_bins,inactive_afternoon,0.019,0.806,False,True,True
person,Random Forest,manual_six_hour_bins,inactive_evening,0.019,0.866,False,True,True
person,Random Forest,manual_six_hour_bins,inactive_morning,0.019,0.81,False,True,True
person,Random Forest,manual_six_hour_bins,activity_night,0.0,-0.196,False,False,False
person,Random Forest,manual_six_hour_bins,activity_evening,0.0,-0.353,False,False,False
person,Random Forest,manual_six_hour_bins,activity_afternoon,0.0,-0.35,False,False,False
person,Random Forest,manual_six_hour_bins,activity_morning,0.0,-0.364,False,False,False
person,Random Forest,manual_six_hour_bins,inactive_night,0.0,0.788,False,True,True
person,Random Forest,manual_full,min,1.0,,True,False,True
person,Random Forest,manual_full,is_constant_activity,1.0,,True,False,True
person,Random Forest,manual_full,median,0.241,-0.503,False,False,False
person,Random Forest,manual_full,inactive_afternoon,0.019,0.806,False,True,True
person,Random Forest,manual_full,inactive_evening,0.019,0.866,False,True,True
person,Random Forest,manual_full,inactive_morning,0.019,0.81,False,True,True
person,Random Forest,manual_full,max,0.0,-0.417,False,False,False
person,Random Forest,manual_full,mean,0.0,-0.382,False,False,False
person,Random Forest,manual_full,mean_activity_3,0.0,-0.049,False,False,False
person,Random Forest,manual_full,mean_activity_4,0.0,-0.012,False,False,False
person,Random Forest,manual_full,mean_activity_5,0.0,-0.117,False,False,False
person,Random Forest,manual_full,mean_activity_6,0.0,-0.248,False,False,False
person,Random Forest,manual_full,sd,0.0,-0.377,False,False,False
person,Random Forest,manual_full,mean_activity_0,0.0,-0.236,False,False,False
person,Random Forest,manual_full,mean_activity_1,0.0,-0.171,False,False,False
person,Random Forest,manual_full,mean_activity_2,0.0,-0.198,False,False,False
