sample_type,classifier,feature_set,feature,zero_proportion,corr_with_inactive_ratio,is_high_inactive,is_high_corr_with_inactivity,is_inactivity_related
daily,Logistic Regression,manual_base,day_night_ratio,0.047,0.093,False,False,False
daily,Logistic Regression,manual_base,sd,0.009,-0.276,False,False,False
daily,Logistic Regression,manual_base,mean_absolute_change_activity,0.009,-0.351,False,False,False
daily,Logistic Regression,manual_base,mean,0.0,-0.352,False,False,False
daily,Logistic Regression,manual_activity_rhythm,RA,0.009,0.499,False,False,False
daily,Logistic Regression,manual_activity_rhythm,IV,0.0,0.278,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_23,0.114,-0.252,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_2,0.113,-0.123,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_1,0.109,-0.123,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_19,0.108,-0.277,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_20,0.108,-0.225,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_18,0.107,-0.254,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_3,0.107,-0.111,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_21,0.104,-0.27,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_0,0.102,-0.154,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_17,0.101,-0.243,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_22,0.099,-0.287,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_4,0.099,-0.096,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_6,0.092,-0.183,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_5,0.091,-0.123,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_16,0.091,-0.27,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_7,0.078,-0.241,False,False,False
daily,Logistic Regression,manual_hourly_activity,mean_activity_14,0.077,-0.243,False,False,False
